FoodItemID	FoodName	FoodTypeID	Manufacturer	ServingsPerContainer	ServingSize	ServingAmount	ServingUnitID	Calories	TotalFat	SaturatedFat	TransFat	Cholesterol	Sodium	TotalCarbs	DietaryFiber	TotalSugars	AddedSugar	Protein	VitaminD	Calcium	Iron	Potassium	FoodDescription	UrlLink	CookingInstructions
19	Sea Salt Vinegar Potato Chips	2	Siete Foods		1oz (28g) = 15 chips			140									0	2						https://sietefoods.com/products/sea-salt-vinegar-serrano-chips	
20	Blueberry Protein Bar	2	RXBAR		1 Bar (52 G)			180									0	12						https://shop.rxbar.com/shop/blueberry-protein-bars-box-of-12.html	
21	Moody's California Burrito	2	Moody's Food Truck		1 Burrito			657									5	33						https://www.moodysfoodtrucks.com/	
22	AlohaMacs Milk Chocolate	2	Hawaiin Host		2 Pieces (26g)			140									10	2						https://hawaiianhost.com/products/alohamacs-milk-2pc	
23	Maui Caramacs	2	Hawaiin Host		2 Pieces (27g)			120									10	1						https://hawaiianhost.com/products/maui-caramacs-2pc	
24	Cheddar Cheese Stick	2	Galbani		1 Stick			100									0	6						https://galbanicheese.com/our-cheeses/dairy-aisle-cheeses-snack-cheese/cheddar-snack-cheese	
25	Apple Pie Larabar	2	Larabar		1 Bar (45g)			200									0	4						https://www.larabar.com/our-products/larabar/apple-pie	
26	Chocolate Chip Cookie Dough Larabar	2	Larabar		1 Bar (45g)			210									3	3						https://www.larabar.com/our-products/larabar/chocolate-chip-cookie-dough	
27	Protein Pasta, Sausage and Raos Sauce	2	C&G		1 Bowl			385									0	24.5							Slice up sausage and heat on pan. Mix in with pasta and sauce
28	Fruit Cup Diced Peaches	2	Del Monte		1 Cup (113g)			60									13	0						https://www.delmonte.com/products/snacks/fruit-cups-snacks/peaches-fruit-cup-snacks	
29	Mavericks Burger	2	Mavericks Beach Club					809									6	37						https://maverickssd.com/menu/# (nutrition is web estimate)	
30	Honeycrisp Apples	2			1 apple (182g)			95									19	0						https://www.nutritionix.com/food/honeycrisp-apples	
31	Taco	2			1 Taco			210									2	9.4						https://www.nutritionix.com/food/tacos	
32	Turkey Burger	2	C&G		1 Burger			540									4	34						https://www.nutritionix.com/food/turkey-burger	
33	Mint Chocolate Chip Bars	2	Yasso		1 Bar (65 G)			100									13	5						https://www.yasso.com/p/mint-chocolate-chip-bars.html/00851035003234	
34	Coconut Chocolate Protein Bar	2	RXBAR		1 Bar (52G)			200									0	12						https://shop.rxbar.com/shop/coconut-chocolate-protein-bars-box-of-12.html	
35	Lemon Drop Martini	2	C&G		1 Cup																				
36	Baked Chicken Drumstick	2	C&G		1 Leg			167									0	22							Dry wings. Cover in powder and sauces. Bake for 20 min each side at 425.
37	Garrett's standard coffee	2	C&G		1 Yeti (20 Oz)			45									1	1					Coffee, half & half and sweetener.		
38	Peanut Butter Chocolate Chip Bar	2	Larabar		1 Bar (45 g)			220									4	5						https://www.larabar.com/our-products/larabar/peanut-butter-chocolate-chip	
40	Cuties	2	Cuties		2 celmentines (168g)			90									0	1						https://cutiescitrus.com/products/cuties/	
41	Pepperoni Frozen Pizza	2	Raos		1/4 Pizza (146 g)			310									1	13						https://www.raos.com/products/pepperoni-pizza	
42	Chocolate Coconut Almonds	2	Trader Joes		8 pieces (32g)			170									11	3							
43	Roltini Singles with mozzarella & prosciutto	2	Volpi		1 package (43)			140									0	12						https://www.volpifoods.com/products/snacks/roltini-singles/roltini-singles-mozzarella-prosciutto/	
44	Tater Tots	2			10 tots (84g)			161									0	1.8						https://www.nutritionix.com/food/tater-tots	
45	Cheeseburger	2			1 cheeseburger			535									7	30						https://www.nutritionix.com/food/cheeseburger	
46	Colby-Jack Cheese Stick	2	Trader Joes		1 stick (24g)	24	12	90	8	4.5	0	25	150	2	0	0	0	5	0	150	0	20		https://www.fooducate.com/product/Trader-Joe-s-Cheese-Snack-Sticks-Colby-Jack/5C34508C-601B-88E0-495D-BEC5F1540930	
47	Thai-Style Coconut Chicken	2	Kevin's Natural Foods		5 oz (140g)			180									3	20					This mild but flavorful curry will make a great meal for the entire family! Tender chicken breast strips in a rich and creamy blend of coconut milk, basil and Thai spices.	https://www.kevinsnaturalfoods.com/products/thai-style-coconut-chicken	
48	Brown Rice	2		1	0.5 cup (98g)			109	0.8	0.2	0	0	1	23	1.8	0	0	2.3	0	9.8	0.5	77		https://www.nutritionix.com/food/brown-rice	
49	Ultimate Pepperoni Pizza	2	Digiorno		1/5 pizza (140 g)			330									3	14						https://www.goodnes.com/digiorno/products/original-rising-crust-pepperoni-pizza-24-oz/	
50	Chocolate Chip Bite Size Premium Cookies	2	Sweet Serenity		1 package (85g)			370									28	4							
51	Sun-Dried Tomato & Basil Chicken Tenders	2	Trader Joes		4 oz (113g)			150									2	24					One of the many reasons we love the pre-marinated options in our fresh meat section is their utter simplicity of preparation. With all the chopping, slicing, and seasoning done for you, all that separates you from a juicy, flavorful, center-of-the-plate protein is a few minutes of grilling, roasting, or sautéeing. Take Trader Joe’s Sun- Dried Tomato & Basil Chicken Tenders, which are making their grand comeback to our refrigerators, for instance. Made with a base of boneless, skinless Chicken Breast tenders and a creamy, savory, Mediterranean- style marinade, prepping this dish from scratch would normally be a labor-intensive endeavor. But since all the work is done for you, you’re free to focus on the finer details, like what kind of side to serve alongside them—or what kind of wine...\r\n\r\nSpeaking of which, we find the tart and tangy notes of the Sun-Dried Tomato, along with the bright aromatics of the Basil, garlic, and onion make this is an ideal protein to pair with pasta, roasted veggies, and a dry, yet fruity, red wine. For something a little different, try pan-frying these Tenders and placing them in a sandwich with Pesto and slices of Fresh Mozzarella.	https://www.traderjoes.com/home/products/pdp/sun-dried-tomato-basil-chicken-tenders-098648	
52	Tomato Basil Boursin Protien Penne Pasta	2	G&C	4				388.012									0	14.795						https://www.instagram.com/p/DAJmjfLJe7k/	1. Preheat oven to 400 F and set rack to middle position. Place the Boursin in the center of your ceramic baking pan. Add your baby tomatoes followed by your crushed garlic. Drizzle your olive oil. Season with salt and pepper to taste. Add the fresh chives and basil (alternatively, you can add the fresh herbs after baking). Bake at 400 F for 30-35 minutes.\r\n\r\n2. When your tomatoes and Boursin are almost done baking, prepare your pasta according to the instructions on the packaging.\r\n\r\n3. After you have finished baking your tomatoes and Boursin, use a meat masher or fork to break the tomatoes and Boursin apart. Add in your fresh spinach and mix until everything is well combined. Add in your drained and cooked tortellini. Mix again until the tortellini is covered in Boursin and everything is well combined! Enjoy!
53	Chicken Chorizo Breakfast Burrito	2	Red's		1 Burrito (142g)			340									1	16					Our signature chicken chorizo breakfast sausage is perfectly seasoned with paprika and rosemary and paired with fluffy, cage-free scrambled eggs, plus a rich blend of delicious white cheddar, pepper jack, and mozzarella cheese — wrapped in a freshly baked tortilla. This premium, savory breakfast burrito is made with 16g of protein, and is sure to leave you satisfied and ready to conquer your day! For the best experience, we suggest using the air fryer, so you can enjoy a restaurant-quality meal at home or on the go.	https://www.redsallnatural.com/product/chicken-chorizo-breakfast-burrito/	
54	Chocolate Chip Cookie	2			1 Large (4" diameter)			221									0	2.3						https://www.nutritionix.com/i/nutritionix/chocolate-chip-cookie-1-large-4-diameter/56d0a6105cfc6ae61cba4508	
55	Peanut Butter Cup Shake	2	Chuze Fitness	1	20 fl oz			603	18.7	5.1	0	74.9	278	53	5	41	26	57.3	2.9	747	2.98	573.3	Served at chuze fitness. NOTE: Chuze doesn't have a macro listing, so the macros are estimated by looking the advertised ingredients and advertised macros and comparing with the macros for the ingredients.		Advertised Macros: 52g protein, 510 cal.\r\nChoice of milk, natural peanut butter, organic truffle, chocolate whey, vanilla whey
56	Dark Chocolate Covered Mini Pretzels	2	Trader Joes		5 pretzels (28g)			140									9	2					Some would say that combining sweet & salty produces a sum greater than its parts. We could knot agree more, especially when you’re talking about Trader Joe’s Dark Chocolate Covered Pretzels!\r\n\r\nSalted Mini Pretzels (not to be confused with “Tiny” pretzels, which are even smaller) are expertly coated with premium Dark Chocolate that is 49% cocoa solids. The thick Chocolate coating is bittersweet & rich, giving way to the superb and slightly salty crunch of the Pretzel\r\nunderneath.\r\n\r\nTrader Joe’s Dark Chocolate Covered Pretzels are easily a standalone snack, but we also recommend you mix them in a bowl with TJ’s Candy Coated Milk Chocolate Dipped Peanuts and watch the sweet & salty snackers flock. Or, crumble them over your favorite Trader Joe’s Ice Cream for an added textural treat. You’ll find these Dark Chocolate Covered Pretzels every day in our stores, alongside their milky counterpart.	https://www.traderjoes.com/home/products/pdp/dark-chocolate-covered-mini-pretzels-045141	
57	Blood Orange Citrus Wheat Ale	2	Cali Squeeze		12 Fl oz			160																https://summerstirs.com/how-many-calories-are-in-a-cali-squeeze-blood-orange-beer/	
58	Single Shot Espresso	2	C&G	1	1 fl oz (30g)	30	12	2.7	0.1	0	0	0	4.1	0.5	0	0	0	0.05	0	0.6	0	34		https://www.nutritionix.com/food/espresso	
59	Cappucino	2	C&G	1	6 Fl Oz			85.4	4.7	2.5	0	17.5	73.2	7.5	0	6	0	4.1	1.25	151.2	0	268	1/3 Espresso, 1/3 warm milk, 1/3 froth milk	https://www.thespruceeats.com/how-to-make-cappuccinos-766116	Pull a double shot of espresso. Foam 4 fl oz of milk so you end up with half warm milk half froth. Pour into espresso.
60	California Sushi Roll	2	Ralphs		1 serving (10 pieces)			280										10						https://www.ralphs.com/p/california-sushi-roll/0085375900858?msockid=01e08ee0f03560f11c2e9c08f1ce6156	
61	Caramel Cone Ice Cream	2	Häagen Dazs		2/3 cup (135g)			400									27	5					Crunchy, chocolaty covered cone pieces and ribbons of caramel folded into caramel ice cream. Unforgettable, unapologetic indulgence.	https://www.icecream.com/us/en/brands/haagen-dazs/products/caramel-cone-ice-cream	
62	Cheddy Mac and Sausage	2	C&G					420									0	30							Cook cheddy mac per instructions on box. Chop up sausage and heat up in a pan. Combine when finished.
63	Cheddy Mac	2	Goodles		2.6 oz dry mix (74g) about 1 cup prepared			260									0	14					Classic creamy cheddar mac tastes like your childhood, but eats like a balanced meal	https://www.goodles.com/products/cheddy-mac/	
64	Oven Roasted Potatoes	2	C&G	6	3/4 cup (113g)			120.208									0	2.025						https://www.pillsbury.com/recipes/easy-oven-roasted-potatoes/fbd35018-9c25-4b44-a11a-16b31c21333c	Heat oven to 425. Add tin foil. Add chopped potatoes, drizzle with oil and evenly sprinkle seasonings. Use a spoon or spatula to mix and completely coat the potatoes.\r\n\r\nRoast in oven uncovered for 35 minutes. Stir every 10-15 minutes until potatoes are tender and browned.
65	Eggs over medium	2	C&G	1	1 egg (~50g)			72	4.8	1.6	0	186	71	0.4	0	0.2	0	6.3	1	28	0.9	69			
66	Beef Burger Bowl	2	C&G	1				728.377									0	43.108							
67	Original Beef Mini Sticks	2	Archer Jerky		1 stick (14g/0.5 oz)			45	3	1.5	0	15	200	0	0	0	0	4						https://archerjerky.com/products/mini-beef-sticks	
68	Milk chocolate m&m's	2		1	1 pack			230	9	6	0	5	35	35	1	31	29	2							
69	Fully cooked chicken breast bites	2	Fresh Additions		1 pouch (91g)			140	3.5	0.5	0	70	400	3	0	0	0	24						https://freshadditions.com/products/chicken-bites/	
70	Strawberry	1				1	4	56									0	1.2						https://www.nutritionix.com/food/strawberries/1-cup	
71	Avocado	1			1 whole avocado	100	12	160									0	2						https://foods.fatsecret.com/calories-nutrition/usda/avocados	
72	Cucumber	1			1 medium cucumber	201	12	30									0	1.3						https://www.nutritionix.com/food/cucumber	
73	Baby Spinach	1				1	4	6.9									0	0.9						https://www.nutritionix.com/food/baby-spinach	
74	Baby Lettuce	1				1	4																		
75	Baby Greens	1				1	4																		
76	Pecan	1				1	4																		
77	Feta Cheese	1				1	4																		
78	Lemon Juice	1																							
79	Extra Virgin Olive Oil	1				1	2	119									0	0						https://www.nutritionix.com/food/extra-virgin-olive-oil	
80	Turkey Breast Slices	1	Sprouts					50									0	11						https://shop.sprouts.com/store/sprouts/products/72211-applegate-natural-oven-roasted-turkey-breast-7oz	
81	Colby Jack Cheese, Sliced	1	Sprouts					90									0	6						https://shop.sprouts.com/store/sprouts/products/19103623-sprouts-sliced-colby-jack-cheese-8-oz	
82	Burger Buns, 21 Whole Grains and Seeds	1	Daves Killer Bread					150									6	6						https://www.daveskillerbread.com/21wgs-burger-buns	
83	Mayo with Avocado Oil	1	Primal Kitchen					100									0	0						https://www.primalkitchen.com/products/squeeze-mayo-with-avocado-oil	
84	Gold Standard Milk Chocolate Whey Powder	1	Optimum Nutrition Inc		32 g (About 1 scoop)	32	12	120									2	24						https://www.optimumnutrition.com/en-us/Products/Shakes-%26-Powders/GOLD-STANDARD-100%25-WHEY%E2%84%A2/p/gold-standard-100-whey-protein	
85	Blackberries	1	Driscoll's			1	4	60									7	2						https://www.driscolls.com/berries/blackberries/nutrition	
86	Penne Pasta	1	Banza			2	10	190									0	11						https://www.eatbanza.com/products/banza-chickpea-penne	
87	Raos	1	Rao's Marinara Sauce			0.5	4	100									0	2						https://www.raos.com/products/marinara-sauce	
88	Chicken Sausage, Paleo Organic Basil & Cracked Black Pepper	1	Sabatinos		1 link	85	12	160									0	16						https://www.sabatinosgourmet.com/products-1/paleo-organic-basil-cracked-black-pepper-chicken-sausage	
89	Chicken Drumstick	1			1 drumstick with skin	91	12	167									0	22						https://www.nutritionix.com/food/chicken-drumstick	
90	Baking Powder	1	Clabber Girl		1/8 tsp	0.6	12	0									0	0						https://clabbergirl.com/product/clabber-girl-baking-powder/	
91	Chili Powder	1																							
92	Paprika	1																							
93	Cumin	1																							
94	Black Coffee	1				8	10	2									0	0						https://www.webmd.com/diet/health-benefits-black-coffee	
95	Half and Half Grade A Ultra-Pasteurized	1	Knudsen			2	2	40									0	1							
96	Zero Calorie Sweetner	1	Splenda		1 Pack = 1 gram	1	12	0									1	0							
97	Clementines	1	Cuties		2 clementine (168g)	168	12	90									0	1						https://cutiescitrus.com/products/cuties/	
98	Garlic & Fine Herbs Cheese	1	Boursin		2 Tbsp (29g)	29	12	120									0	2						https://www.boursin.com/product/garlic-fine-herbs/	
99	Cherry Tomatoes	1				8	10	37									0	1.83						https://foods.fatsecret.com/calories-nutrition/generic/tomatoes-cherry?portionid=544962&portionamount=8.000	
100	Garlic Clove	1			1 clove	3	12	4.5									0	0.2						https://www.nutritionix.com/food/garlic/1-clove	
101	Salt	1				1	1	0									0	0						https://www.nutritionix.com/food/salt	
102	Ground Black Pepper	1				1	1	6.5									0	0.3						https://www.nutritionix.com/food/black-pepper/1-tsp-ground	
103	Fresh Basil	1				1	4	5.5									0	0.8						https://www.nutritionix.com/food/fresh-basil/1-cup	
104	Vitamin D Whole Milk	1	Alta Dena		1 cup (240ml)	1	4	160	9	5	0	35	130	13	0	12	0	8	2.5	300	0	400		https://altadenadairy.com/products/whole-milk-plastic-gallon/	
105	Gold Standard Vanilla Ice Cream Whey Powder	1	Optimum Nutrition Inc		31 g (About 1 scoop)	31	12	120									2	24						https://www.optimumnutrition.com/en-us/Products/Shakes-%26-Powders/GOLD-STANDARD-100%25-WHEY%E2%84%A2/p/gold-standard-100-whey-protein	
106	Baby Potatoes, Dutch Yellow	1	First Street		3/4 cup (113g)	0.75	4	80									0	2						https://www.smartandfinal.com/sm/pickup/rsid/522/product/first-street-baby-potatoes-dutch-yellow-id-00041512173035	
107	Egg	1			1 large egg (50g)	50	12	72	4.8	1.6	0	186	71	0.4	0	0.2	0	6.3	1	28	0.9	69		https://www.nutritionix.com/food/eggs	
108	Organic Ground Beef 85% lean	1	Kirkland		4 oz (112g)	4	10	240									0	21							
109	Mexican-Style Blend Cheese	1	Kirkland		1/3 cup (28g)	28	12	110									0	7							
110	Pumpkin Butter	1	Trader Joes		1 Tbsp	18	12	40	0	0	0	0	0	10	0	9	9	0	0	0	0.1	0		https://www.traderjoes.com/home/products/pdp/pumpkin-butter-006372	
111	Natural Peanut Butter	1	Swiig		2 tbsps (32g)	32	12	190	16	3	0	0	0	7	3	2	0	8	0	247	1.08	188		https://shop.swiig.com/products/natural-peanut-butter	
112	Vanilla Daily Whey Protein	1	Swiig		1 scoop (28g)	28	12	110	1	1	0	35	45	4	0	3	3	20	0	100	0	130		https://shop.swiig.com/collections/supplements/products/vanilla-daily-whey-protein-matrix	
113	Chocolate Daily Whey Protein	1	Swiig		1 scoop (28g)	28	12	110	1.5	1		35	45	4	1	2	1	20	0	100	0.8	240		https://shop.swiig.com/products/chocolate-daily-whey-protein-matrix	
114	Organic Chocolate Truffle	1	Swiig		1 oz (28g)	28	12	110	0	0	0	0	85	26	1	22	22	1	0	1	1	7		https://shop.swiig.com/products/chocolate-daily-whey-protein-matrix	
115	Skim Milk	1			1 Cup (245g)	1	4	83	0.2	0.1	0	4.9	103	12	0	12	0	8.3	2.9	299	0.1	8.3		https://www.nutritionix.com/food/skim-milk	
